
🇨🇳CCTV,#genre#
CCTV1,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv1/index.m3u8
CCTV1,http://117.169.120.130:8080/live/cctv-1/index.m3u8
CCTV2,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv2/index.m3u8
CCTV2,http://117.169.120.130:8080/live/cctv-2/index.m3u8
CCTV3,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv3/index.m3u8
CCTV3,http://117.169.120.130:8080/live/cctv-3/index.m3u8
CCTV4,http://117.169.120.130:8080/live/cctv-4/index.m3u8
CCTV5,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv5/index.m3u8
CCTV6,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv6/index.m3u8
CCTV6,http://117.169.120.130:8080/live/cctv-6/index.m3u8
CCTV7,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv7/index.m3u8
CCTV7,http://117.169.120.130:8080/live/cctv-7/index.m3u8
CCTV8,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv8/index.m3u8
CCTV8,http://117.169.120.130:8080/live/cctv-8/index.m3u8
CCTV9,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv9/index.m3u8
CCTV9,http://117.169.120.130:8080/live/cctv-news/index.m3u8
CCTV10,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv10/index.m3u8
CCTV10,http://117.169.120.130:8080/live/cctv-10/index.m3u8
CCTV11,http://117.169.120.130:8080/live/cctv-11/index.m3u8
CCTV12,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv12/index.m3u8
CCTV12,http://117.169.120.130:8080/live/cctv-12/index.m3u8
CCTV13,http://117.169.120.130:8080/live/cctv-13/index.m3u8
CCTV14,http://117.169.120.130:8080/live/HD-8000k-1080P-cctv14/index.m3u8
CCTV14,http://117.169.120.130:8080/live/cctv-14/index.m3u8
CCTV15,http://117.169.120.130:8080/live/cctv-15/index.m3u8
CCTV5+,http://117.169.120.130:8080/live/hdcctv05plus/index.m3u8
CCTV17,http://117.169.120.130:8080/live/HD-4000k-1080P-cctv17/index.m3u8

CCTV1,http://223.110.251.152:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV2,http://223.110.251.152:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV3,http://223.110.251.152:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/
CCTV4,http://223.110.251.152:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/
CCTV5,http://223.110.251.152:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/
CCTV6,http://223.110.251.152:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV7,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv7/HD-8000k-1080P-cctv7
CCTV8,http://223.110.251.152:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV9,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9
CCTV10,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv10/HD-8000k-1080P-cctv10
CCTV11,http://117.169.120.160:8080/live/cctv-11/1.m3u8
